region_id,type_id,registration_count,year_recorded
1,1,15424,2023
1,2,3290,2018
1,2,2872,2019
1,2,2578,2020
1,2,2260,2021
1,2,2737,2022
1,2,2592,2023
1,3,20319,2020
1,3,19312,2021
1,3,17667,2022
1,3,17928,2023
1,4,4979,2018
1,4,4808,2019
1,4,4537,2020
1,4,4547,2021
1,4,4652,2022
1,4,4604,2023
1,5,3408,2018
1,5,2906,2019
1,5,2928,2020
1,5,2554,2021
1,5,2656,2022
1,5,2171,2023
1,6,22018,2023
1,7,7613,2018
1,7,7410,2019
1,7,5879,2020
1,7,6564,2021
1,7,5999,2022
1,7,5391,2023
1,8,20489,2022
1,8,17895,2023
1,9,7911,2018
1,9,7404,2019
1,9,7255,2020
1,9,6347,2021
1,9,5891,2022
1,9,5676,2023
1,10,4735,2018
1,10,4969,2019
1,10,4340,2020
1,10,4097,2021
1,10,3344,2022
1,10,3962,2023
1,11,7171,2021
1,11,6804,2022
1,11,5922,2023
1,12,9269,2018
1,12,8057,2019
1,12,8097,2020
1,12,7100,2021
1,12,6715,2022
1,12,5885,2023
1,13,7781,2018
1,13,7837,2019
1,13,6204,2020
1,13,5777,2021
1,13,5765,2022
1,13,5135,2023
1,14,8047,2023
1,15,3329,2018
1,15,3117,2019
1,15,2896,2020
1,15,2825,2021
1,15,2944,2022
1,15,3138,2023
1,16,3263,2018
1,16,2733,2019
1,16,3084,2020
1,16,2804,2021
1,16,2711,2022
1,16,2181,2023
1,17,7161,2018
1,17,6159,2019
1,17,6011,2020
1,17,4906,2021
1,17,5417,2022
1,17,5125,2023
1,18,7363,2018
1,18,6705,2019
1,18,6521,2020
1,18,5600,2021
1,18,5273,2022
1,18,4824,2023
1,19,5489,2018
1,19,4799,2019
1,19,4461,2020
1,19,4226,2021
1,19,4846,2022
1,19,4839,2023
1,20,3132,2018
1,20,2890,2019
1,20,2799,2020
1,20,2733,2021
1,20,2184,2022
1,20,2348,2023
1,21,8293,2019
1,21,8149,2020
1,21,6998,2021
1,21,7151,2022
1,21,6747,2023
1,22,11478,2020
1,22,10890,2021
1,22,9744,2022
1,22,9631,2023
1,23,4717,2018
1,23,4854,2019
1,23,4418,2020
1,23,4506,2021
1,23,4153,2022
1,23,3275,2023
1,24,21488,2023
1,25,3605,2018
1,25,3169,2019
1,25,3318,2020
1,25,2651,2021
1,25,2846,2022
1,25,2320,2023
1,26,9433,2018
1,26,7873,2019
1,26,8004,2020
1,26,7542,2021
1,26,7284,2022
1,26,5914,2023
1,27,2528,2018
1,27,2565,2019
1,27,2255,2020
1,27,2226,2021
1,27,1960,2022
1,27,1866,2023
1,28,23688,2023
1,29,16126,2018
1,29,14407,2019
1,29,13611,2020
1,29,13827,2021
1,29,12551,2022
1,29,10825,2023
1,30,13095,2018
1,30,11846,2019
1,30,12108,2020
1,30,10364,2021
1,30,10535,2022
1,30,10172,2023
1,31,22426,2023
1,32,14368,2019
1,32,14946,2020
1,32,13411,2021
1,32,12778,2022
1,32,11944,2023
1,33,6637,2018
1,33,5686,2019
1,33,5024,2020
1,33,5425,2021
1,33,5112,2022
1,33,4606,2023
1,34,1978,2018
1,34,1763,2019
1,34,1752,2020
1,34,1612,2021
1,34,1339,2022
1,34,1357,2023
1,35,13404,2018
1,35,12442,2019
1,35,12515,2020
1,35,11463,2021
1,35,12024,2022
1,35,10435,2023
1,36,11320,2018
1,36,9481,2019
1,36,9368,2020
1,36,9392,2021
1,36,8481,2022
1,36,7736,2023
1,37,9242,2018
1,37,8251,2019
1,37,7312,2020
1,37,6968,2021
1,37,6026,2022
1,37,6662,2023
1,38,16304,2022
1,38,15669,2023
1,39,6670,2019
1,39,6358,2020
1,39,6418,2021
1,39,5629,2022
1,39,5705,2023
1,40,18213,2019
1,40,15722,2020
1,40,14519,2021
1,40,14992,2022
1,40,13836,2023
1,41,18436,2020
1,41,18429,2021
1,41,18960,2022
1,41,17926,2023
1,42,3438,2018
1,42,3714,2019
1,42,2854,2020
1,42,2892,2021
1,42,2651,2022
1,42,2684,2023
1,43,10083,2023
1,44,9286,2020
1,44,7919,2021
1,44,7789,2022
1,44,7958,2023
1,45,5677,2018
1,45,5779,2019
1,45,5487,2020
1,45,4995,2021
1,45,4691,2022
1,45,4487,2023
1,46,15151,2018
1,46,13337,2019
1,46,14645,2020
1,46,13640,2021
1,46,11104,2022
1,46,12567,2023
1,47,11233,2018
1,47,10682,2019
1,47,9864,2020
1,47,10015,2021
1,47,8864,2022
1,47,8697,2023
1,48,6591,2018
1,48,6720,2019
1,48,6426,2020
1,48,5694,2021
1,48,5650,2022
1,48,5173,2023
1,49,11170,2018
1,49,11514,2019
1,49,9309,2020
1,49,9745,2021
1,49,10064,2022
