region_id,make,model,year,registration_count,year_recorded
1,Toyota,Camry,2012,3431,2018
1,Toyota,Camry,2012,3313,2019
1,Toyota,Camry,2012,2877,2020
1,Toyota,Camry,2012,2426,2021
1,Toyota,Camry,2012,2544,2022
1,Toyota,Camry,2012,2516,2023
1,Toyota,Camry,2013,6521,2018
1,Toyota,Camry,2013,7027,2019
1,Toyota,Camry,2013,5814,2020
1,Toyota,Camry,2013,5802,2021
1,Toyota,Camry,2013,4998,2022
1,Toyota,Camry,2013,4778,2023
1,Toyota,Camry,2014,6979,2018
1,Toyota,Camry,2014,6880,2019
1,Toyota,Camry,2014,6591,2020
1,Toyota,Camry,2014,6285,2021
1,Toyota,Camry,2014,5869,2022
1,Toyota,Camry,2014,4839,2023
1,Toyota,Corolla,2014,6146,2018
1,Toyota,Corolla,2014,5429,2019
1,Toyota,Corolla,2014,5618,2020
1,Toyota,Corolla,2014,5049,2021
1,Toyota,Corolla,2014,4486,2022
1,Toyota,Corolla,2014,4519,2023
1,Toyota,Corolla,2016,4166,2018
1,Toyota,Corolla,2016,3362,2019
1,Toyota,Corolla,2016,3318,2020
1,Toyota,Corolla,2016,2949,2021
1,Toyota,Corolla,2016,3231,2022
1,Toyota,Corolla,2016,2693,2023
1,Toyota,Corolla,2010,5047,2018
1,Toyota,Corolla,2010,4552,2019
1,Toyota,Corolla,2010,3787,2020
1,Toyota,Corolla,2010,4158,2021
1,Toyota,Corolla,2010,3786,2022
1,Toyota,Corolla,2010,4067,2023
1,Toyota,RAV4,2013,4929,2018
1,Toyota,RAV4,2013,4860,2019
1,Toyota,RAV4,2013,3893,2020
1,Toyota,RAV4,2013,3912,2021
1,Toyota,RAV4,2013,3334,2022
1,Toyota,RAV4,2013,3422,2023
1,Toyota,RAV4,2017,14822,2018
1,Toyota,RAV4,2017,13963,2019
1,Toyota,RAV4,2017,11958,2020
1,Toyota,RAV4,2017,11661,2021
1,Toyota,RAV4,2017,10605,2022
1,Toyota,RAV4,2017,10666,2023
1,Toyota,RAV4,2012,5097,2018
1,Toyota,RAV4,2012,4886,2019
1,Toyota,RAV4,2012,5104,2020
1,Toyota,RAV4,2012,4832,2021
1,Toyota,RAV4,2012,4157,2022
1,Toyota,RAV4,2012,4405,2023
1,Toyota,Highlander,2012,2472,2018
1,Toyota,Highlander,2012,2550,2019
1,Toyota,Highlander,2012,2317,2020
1,Toyota,Highlander,2012,1904,2021
1,Toyota,Highlander,2012,1709,2022
